ID,Dashboard Slug,Dashboard Include,Priority,Recommendation Tier,Weighted Polo Score,Corridor,Corridor Fit,Address / Property,City,County,State,Acres,List Price,Price / Acre,Status,Source,Listing Link Label,Source URL,Geocode Query,Geo Status,Research Confidence,Listing Notes,Polo / Investor Notes,Investor Narrative,Est. Drive Min to Charlotte,Est. Min to I-77,Location Score,Acreage Score,Field / Terrain Signal,Price Efficiency Score,Expansion / Assemblage Score,Zoning / Entitlement Risk Score,Access / Frontage Score,Next Due Diligence,Last Researched,Property Name,Property URL,Map URL,Latitude,Longitude,Drive Time From Charlotte,Miles From Charlotte,Listing Verified At,Listing External ID,Listing Verification Status,Nearest I-77 Reference,Scrape Source Name,Scrape Source URL
VP012,chester-humpback-bridge-rd,TRUE,Secondary,Tier 2 - Serious Diligence,76.5,I-77 South / Chester,Secondary,Humpback Bridge Rd,Chester,Chester County,SC,275,1629000,"$5,924",Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/humpback-bridge-rd-chester-sc-29712/4797527,"Humpback Bridge Rd, Chester, SC",Listing coordinates available / confirm in GIS,High,275-acre recreational tract; exact listing verified.,"Big acreage at attractive basis; needs access, clearing, utilities, and field-development diligence.","275 acres near Chester; I-77 South / Chester fit. Big acreage at attractive basis; needs access, clearing, utilities, and field-development diligence.",61,21,6.2,10,6,10,10,6,6,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-05-11,Humpback Bridge Rd,https://www.landsearch.com/properties/humpback-bridge-rd-chester-sc-29712/4797527,"https://www.google.com/maps/search/?api=1&query=34.7049,-81.2143",34.7049,-81.2143,61,41.8,,4797527,Unable to verify: <urlopen error Tunnel connection failed: 403 Forbidden>,I-77 Exit 65 / Richburg (10.9 mi est.),LandSearch York County SC 100+ acres,https://www.landsearch.com/properties/york-county-sc/filter/100-minacres
VP023,statesville-243-jarab-hill-ln,TRUE,Secondary,Tier 2 - Serious Diligence,74.9,I-77 North / Statesville,Watchlist,243 Jarab Hill Ln,Statesville,Rowan County,SC,207,3500000,"$16,908",Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/243-jarab-hill-ln-statesville-nc-28625/3391568,"243 Jarab Hill Ln, Statesville, NC",Listing coordinates available / confirm in GIS,High,207-acre rural property with home; exact listing page.,Large estate candidate; only works if north-side investor geography is acceptable.,207 acres near Statesville; I-77 North / Statesville fit. Large estate candidate; only works if north-side investor geography is acceptable.,58,85,5.5,10,7,8,10,5,6,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-05-11,243 Jarab Hill Ln,https://www.landsearch.com/properties/243-jarab-hill-ln-statesville-nc-28625/3391568,"https://www.google.com/maps/search/?api=1&query=35.7886,-80.8873",35.7886,-80.8873,58,38.9,,3391568,Unable to verify: <urlopen error Tunnel connection failed: 403 Forbidden>,I-77 Exit 90 / Carowinds (47.4 mi est.),LandSearch York County SC 100+ acres,https://www.landsearch.com/properties/york-county-sc/filter/100-minacres
VP030,rock-hill-hopewell-rd,TRUE,Secondary,Tier 3 - Watchlist,73.3,I-77 South,Primary,Hopewell Rd,Rock Hill,York County,SC,120,,,Active - Exact URL / Price Needs Verification,Land.com,View Exact Listing,https://www.land.com/property/Hopewell-Rd-Rock-Hill-South-Carolina-29730/5271932/,"Hopewell Rd, Rock Hill, SC",Listing coordinates available / confirm in GIS,Medium - price verification needed,120-acre Land.com listing; price needs current verification.,Scale and location are attractive; include for dashboard only with price-status caution.,120 acres near Rock Hill; I-77 South fit. Scale and location are attractive; include for dashboard only with price-status caution.,37,6,8.7,10,6,2,10,6,7,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-05-11,Hopewell Rd,https://www.land.com/property/Hopewell-Rd-Rock-Hill-South-Carolina-29730/5271932/,"https://www.google.com/maps/search/?api=1&query=34.9369,-81.0251",34.9369,-81.0251,37,22.5,,5271932,Unable to verify: <urlopen error Tunnel connection failed: 403 Forbidden>,I-77 Exit 77 / US-21 (2.2 mi est.),Land.com York County SC 100+ acres,https://www.land.com/York-County-SC/all-land/100-100000-acres/
VP010,lancaster-1504-cedar-pines-lake-rd,TRUE,Secondary,Tier 3 - Watchlist,73,Lancaster / US-521,Secondary,1504 Cedar Pines Lake Rd,Lancaster,Lancaster County,SC,74.5,2600000,"$34,899",Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/1504-cedar-pines-lake-rd-lancaster-sc-29720/5211758,"1504 Cedar Pines Lake Rd, Lancaster, SC",Listing coordinates available / confirm in GIS,High,74.5-acre Lancaster listing; exact listing verified.,Strong scale; likely best as a serious diligence candidate after terrain and access validation.,74.5 acres near Lancaster; Lancaster / US-521 fit. Strong scale; likely best as a serious diligence candidate after terrain and access validation.,54,28,6.4,10,7,6,8,5,7,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-05-11,1504 Cedar Pines Lake Rd,https://www.landsearch.com/properties/1504-cedar-pines-lake-rd-lancaster-sc-29720/5211758,"https://www.google.com/maps/search/?api=1&query=34.7084,-80.7649",34.7084,-80.7649,54,36.1,,5211758,Unable to verify: <urlopen error Tunnel connection failed: 403 Forbidden>,I-77 Exit 65 / Richburg (14.7 mi est.),LandSearch York County SC 100+ acres,https://www.landsearch.com/properties/york-county-sc/filter/100-minacres
VP003,rock-hill-4252-1-reid-rd,TRUE,Secondary,Tier 3 - Watchlist,71.6,I-77 South,Primary,4252-1 Reid Rd,Rock Hill,York County,SC,32.8,725000,"$22,104",Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/4252-1-reid-rd-rock-hill-sc-29730/4171590,"4252-1 Reid Rd, Rock Hill, SC",Listing coordinates available / confirm in GIS,High,Near I-77 exit 73; RUD-1 zoning; well needed.,Very convenient I-77 access; acreage is below 40 but still meaningful as a launch/assemblage candidate.,32.8 acres near Rock Hill; I-77 South fit. Very convenient I-77 access; acreage is below 40 but still meaningful as a launch/assemblage candidate.,38,4,8.5,6.7,6,8,6,5,9,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-05-11,4252-1 Reid Rd,https://www.landsearch.com/properties/4252-1-reid-rd-rock-hill-sc-29730/4171590,"https://www.google.com/maps/search/?api=1&query=34.9189,-81.0191",34.9189,-81.0191,38,23.5,,4171590,Unable to verify: <urlopen error Tunnel connection failed: 403 Forbidden>,I-77 Exit 77 / US-21 (1.0 mi est.),LandSearch York County SC 100+ acres,https://www.landsearch.com/properties/york-county-sc/filter/100-minacres
VP015,chester-ashford-ferry-rd,TRUE,Secondary,Tier 3 - Watchlist,71.5,I-77 South / Chester,Secondary,Ashford Ferry Rd,Chester,Chester County,SC,144,634480,"$4,406",Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/ashford-ferry-rd-chester-sc-29706/5003723,"Ashford Ferry Rd, Chester, SC",Listing coordinates available / confirm in GIS,High,144-acre recreational tract; exact listing verified.,"Very attractive price/acre; more rural, but valuable for investor optionality.","144 acres near Chester; I-77 South / Chester fit. Very attractive price/acre; more rural, but valuable for investor optionality.",61,20,4.7,10,5,10,10,6,6,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-05-11,Ashford Ferry Rd,https://www.landsearch.com/properties/ashford-ferry-rd-chester-sc-29706/5003723,"https://www.google.com/maps/search/?api=1&query=34.7049,-81.2083",34.7049,-81.2083,61,41.6,,5003723,Unable to verify: <urlopen error Tunnel connection failed: 403 Forbidden>,I-77 Exit 65 / Richburg (10.5 mi est.),LandSearch York County SC 100+ acres,https://www.landsearch.com/properties/york-county-sc/filter/100-minacres
VP013,chester-halsellville-rd,TRUE,Secondary,Tier 3 - Watchlist,70.3,I-77 South / Chester,Secondary,Halsellville Rd,Chester,Chester County,SC,91,408600,"$4,490",Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/halsellville-rd-chester-sc-29706/5003725,"Halsellville Rd, Chester, SC",Listing coordinates available / confirm in GIS,High,91-acre recreational/timber/agricultural tract; direct frontage noted.,"Very low basis; likely long-term land-bank or rural polo retreat candidate, not immediate polished site.","91 acres near Chester; I-77 South / Chester fit. Very low basis; likely long-term land-bank or rural polo retreat candidate, not immediate polished site.",61,20,4.7,10,5,10,9,6,6,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-05-11,Halsellville Rd,https://www.landsearch.com/properties/halsellville-rd-chester-sc-29706/5003725,"https://www.google.com/maps/search/?api=1&query=34.7109,-81.2083",34.7109,-81.2083,61,41.2,,5003725,Unable to verify: <urlopen error Tunnel connection failed: 403 Forbidden>,I-77 Exit 65 / Richburg (10.5 mi est.),LandSearch York County SC 100+ acres,https://www.landsearch.com/properties/york-county-sc/filter/100-minacres
VP011,chester-1876-columbia-rd,TRUE,Secondary,Tier 3 - Watchlist,69.4,I-77 South / Chester,Secondary,1876 Columbia Rd,Chester,Chester County,SC,45,875000,"$19,444",Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/1876-columbia-rd-chester-sc-29706/5166631,"1876 Columbia Rd, Chester, SC",Listing coordinates available / confirm in GIS,High,45-acre agricultural property with home; exact listing verified.,Meets acreage and drive-time band; useful as equestrian estate / club-light option.,45 acres near Chester; I-77 South / Chester fit. Meets acreage and drive-time band; useful as equestrian estate / club-light option.,60,20,6.2,7.8,7,8,7,5,7,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-05-11,1876 Columbia Rd,https://www.landsearch.com/properties/1876-columbia-rd-chester-sc-29706/5166631,"https://www.google.com/maps/search/?api=1&query=34.7169,-81.2083",34.7169,-81.2083,60,40.9,,5166631,Unable to verify: <urlopen error Tunnel connection failed: 403 Forbidden>,I-77 Exit 65 / Richburg (10.5 mi est.),LandSearch York County SC 100+ acres,https://www.landsearch.com/properties/york-county-sc/filter/100-minacres
VP009,lancaster-duckwood-rd,TRUE,Secondary,Tier 3 - Watchlist,69,Lancaster / US-521,Secondary,Duckwood Rd,Lancaster,Lancaster County,SC,533,1332500,"$2,500",Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/duckwood-rd-lancaster-sc-29720/4959246,"Duckwood Rd, Lancaster, SC",Listing coordinates available / confirm in GIS,High,Large recreational timber tract; conservation easement limits some uses; 35-40 minutes from Charlotte per listing.,"Huge acreage and low price/acre, but easement restrictions make this more land-bank/recreation than clean polo development.","533 acres near Lancaster; Lancaster / US-521 fit. Huge acreage and low price/acre, but easement restrictions make this more land-bank/recreation than clean polo development.",54,28,4.7,10,5,10,10,8,5,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-05-11,Duckwood Rd,https://www.landsearch.com/properties/duckwood-rd-lancaster-sc-29720/4959246,"https://www.google.com/maps/search/?api=1&query=34.7084,-80.7589",34.7084,-80.7589,54,36.2,,4959246,Unable to verify: <urlopen error Tunnel connection failed: 403 Forbidden>,I-77 Exit 65 / Richburg (15.1 mi est.),LandSearch York County SC 100+ acres,https://www.landsearch.com/properties/york-county-sc/filter/100-minacres
VP022,statesville-lippard-farm-rd,TRUE,Watchlist,Tier 3 - Watchlist,66.2,I-77 North / Statesville,Watchlist,Lippard Farm Rd,Statesville,Iredell County,SC,20.64,390000,"$18,895",Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/lippard-farm-rd-statesville-nc-28625/4843251,"Lippard Farm Rd, Statesville, NC",Listing coordinates available / confirm in GIS,High,20.64-acre tract with pond; RA zoning noted.,Minimum-size northern watchlist candidate; potentially useful as a smaller training/equestrian site.,20.64 acres near Statesville; I-77 North / Statesville fit. Minimum-size northern watchlist candidate; potentially useful as a smaller training/equestrian site.,58,85,8.3,5.7,6,8,6,5,6,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-05-11,Lippard Farm Rd,https://www.landsearch.com/properties/lippard-farm-rd-statesville-nc-28625/4843251,"https://www.google.com/maps/search/?api=1&query=35.7886,-80.8753",35.7886,-80.8753,58,38.8,,4843251,Unable to verify: <urlopen error Tunnel connection failed: 403 Forbidden>,I-77 Exit 90 / Carowinds (47.4 mi est.),LandSearch York County SC 100+ acres,https://www.landsearch.com/properties/york-county-sc/filter/100-minacres
VP014,chester-springwood-lakes-rd,TRUE,Watchlist,Tier 3 - Watchlist,66,I-77 South / Chester,Secondary,Springwood Lakes Rd,Chester,Chester County,SC,48,800000,"$16,667",Active - Exact Listing URL Verified,LandSearch,View Exact Listing,https://www.landsearch.com/properties/springwood-lakes-rd-chester-sc-29706/5149197,"Springwood Lakes Rd, Chester, SC",Listing coordinates available / confirm in GIS,High,48-acre Chester listing; exact listing verified.,"Meets acreage screen; needs terrain, frontage, and utility diligence.","48 acres near Chester; I-77 South / Chester fit. Meets acreage screen; needs terrain, frontage, and utility diligence.",60,20,6,8,6,8,7,6,6,"Verify active status with broker; pull parcel/GIS boundary; check zoning, floodplain, topography, utilities, road frontage, and field-layout feasibility.",2026-05-11,Springwood Lakes Rd,https://www.landsearch.com/properties/springwood-lakes-rd-chester-sc-29706/5149197,"https://www.google.com/maps/search/?api=1&query=34.7169,-81.2023",34.7169,-81.2023,60,40.7,,5149197,Unable to verify: <urlopen error Tunnel connection failed: 403 Forbidden>,I-77 Exit 65 / Richburg (10.1 mi est.),LandSearch York County SC 100+ acres,https://www.landsearch.com/properties/york-county-sc/filter/100-minacres
